YYYYMM,Pcnt,Rcnt
20100101,1037,9
20100201,969,9
20100301,1092,15
20100401,1162,11
20100501,1120,14
20100601,1204,19
20100701,1332,18
20100801,1549,19
20100901,1548,29
20101001,1827,37
20101101,1900,45
20101201,1954,40
20110101,2024,41
20110201,2320,55
20110301,2696,52
20110401,2776,57
20110501,2788,56
20110601,2960,51
20110701,3250,69
20110801,3335,57
20110901,3732,84
20111001,3678,88
20111101,3804,118
20111201,3746,90
20120101,4324,130
20120201,4839,143
20120301,5510,144
20120401,5322,191
20120501,5419,173
20120601,5354,155
20120701,5873,189
20120801,6058,218
20120901,6352,229
20121001,7117,293
20121101,7340,259
20121201,6888,263
20130101,8771,371
20130201,9012,410
20130301,10553,398
20130401,10443,404
20130501,10210,488
20130601,9843,437
20130701,10742,509
20130801,10046,491
20130901,10970,530
20131001,12448,665
20131101,11941,703
20131201,11270,551
20140101,13494,1845
20140201,14624,862
20140301,16704,6093
20140401,15799,3007
20140501,15755,3336
20140601,15262,3861
20140701,16807,3942
20140801,16456,4040
20140901,18288,4167
20141001,22572,3963
20141101,20903,4023
20141201,18865,3740
20150101,22643,5391
20150201,22581,5066
20150301,30934,5229
20150401,27812,5110
20150501,26646,4805
20150601,26141,5162
20150701,26912,5066
20150801,26820,4881
20150901,29885,4694
20151001,32315,4657
20151101,32773,4408
20151201,30670,4421
20160101,35108,4705
20160201,37908,5148
20160301,42591,5047
20160401,41778,4762
20160501,39240,4882
20160601,37104,4509
20160701,38438,4286
20160801,40688,4636
20160901,45097,5198
20161001,50397,5536
20161101,50285,5314
20161201,47188,4964
20170101,55033,5719
20170201,57646,5709
20170301,66873,6446
20170401,62401,5821
20170501,63976,6065
20170601,62236,5806
20170701,65143,5716
20170801,64511,5605
20170901,73577,6296
20171001,81378,6671
20171101,83161,6687
20171201,78140,5742
20180101,89138,7395
20180201,84937,7380
20180301,104431,8103
20180401,98380,7475
20180501,98118,7386
20180601,92056,6791
20180701,95405,6846
20180801,95574,7291
20180901,104650,7789
20181001,117097,9068
20181101,117603,8691
20181201,110821,7103
